feature,weight
buktikan,0.42306435778119234
jaya,0.42162376465006995
penarikan,0.4214080786326205
gaya visualnya,0.42071734165625857
visualnya khas,0.42071734165625857
momen,0.41920408744708015
rupiah,0.4190256619946106
squad,0.4186146698120504
squad tujuh,0.4186146698120504
bersykur,0.41736029723238754
bang berkah,0.41736029723238754
lupa bersykur,0.41736029723238754
bersykur bang,0.41736029723238754
halus,0.4168410152742156
ingat,0.4166650482664468
aku yakin,0.41511192208706893
cepetan,0.41374872623607717
piring,0.4118255984765904
modal receh,0.4115684033507555
receh,0.4115684033507555
berapapun,0.411046642808539
rocket,0.40820370262880246
kayak,0.4065112158699042
pengalaman,0.4064695753123795
exploding head,0.40601278340117153
exploding,0.40601278340117153
head,0.40601278340117153
setia,0.40581535720664325
seru,0.4055389508953642
paket,0.40506432698313577
nasi kapau,0.4048135916194595
kapau,0.4048135916194595
emang nggak,0.4048135916194595
ngajak,0.4046128843849253
temen temen,0.4038759263798888
datang face,0.403091708265842
heart,0.401188691940418
gmpng,0.3998927294544707
dora gmpng,0.3998927294544707
selalu pilihan,0.39922519188434563
pilihan utama,0.39922519188434563
best selalu,0.39922519188434563
utama berkah,0.39922519188434563
main langsung,0.39915412100469294
kerennya,0.398556254646254
hari berkat,0.39778522787704335
heart red,0.39683654668940727
kombinasi,0.3965820489106034
besar money,0.3964172631752715
bro,0.39602453179317876
square bardi,0.39572932702075414
mabar,0.39481915641907916
ceritanya,0.39480030686934325
main pstoto,0.3945036715051723
dikit,0.3930917339494487
pstoto jangan,0.3925868329525498
scroll,0.3925868329525498
dikasih,0.3923874443826538
pstoto tempat,0.39220747713004295
pemenang,0.3918719174570856
lawan,0.3910052377683769
pilihannya,0.39099745751307474
ulang tahun,0.3903975239915615
ga bakal,0.3903307725659898
ragukan,0.3900846405390584
keliatannya,0.38796119818221825
rahasia,0.38685074237046935
new,0.3867796686187812
new member,0.3867796686187812
daftar,0.3859620851306889
sunglasses,0.38589893432132605
with sunglasses,0.38589893432132605
jepey dora,0.3852737571184188
capek,0.38508622078915256
win,0.3846385128174929
paling the,0.38463062287586675
pastikan,0.38331733010449986
bangeett,0.38169040483320393
clapping hands,0.38101686787177635
clapping,0.38101686787177635
menang besar,0.38019191693016186
bareng warkop,0.37824365636632445
kiss,0.3777001752789212
blowing kiss,0.3777001752789212
blowing,0.3777001752789212
face blowing,0.3777001752789212
lupa,0.37679954382144465
kebahagiaan,0.376760947320126
fire pstoto,0.37604433325538134
pstoto fire,0.37604433325538134
biceps,0.3756982149419932
flexed biceps,0.3756982149419932
flexed,0.3756982149419932
siapbet,0.37500069229287314
menawarkan,0.37471541578793705
secara,0.3741596056498036
jepey,0.37393440122519556
mampir,0.373451145021896
sistemnya,0.37258354863941695
member,0.3724306126896595
beneran,0.37214769458343333
percaya,0.36990944409717674
voltage sekarang,0.36951551915333236
voltage bareng,0.36853821078143834
sih banyak,0.3674024563139667
heran sih,0.3674024563139667
bg radit,0.36736545855623026
ball,0.36650538451715275
semoga selalu,0.36623126354594177
paman,0.36621142217220387
paling bagus,0.36557537742712004
maell,0.36522479879631947
maell lee,0.36522479879631947
lee,0.36522479879631947
gemesnya,0.3643029629502889
seru seruan,0.3642603414168425
segemes,0.3641920908542772
ktmu,0.3640844818395162
pilihan,0.36406073316955984
tua,0.3632606614678234
menang main,0.363179900416247
benar menang,0.363179900416247
kecil,0.36176574374036313
lunas,0.36175354686437855
berkah victory,0.3615533354390445
hand berkah,0.3615533354390445
senyum main,0.3596138578098084
berhasil klip,0.35893463808947407
menakjubkan,0.35893463808947407
super menakjubkan,0.35893463808947407
chick pelatih,0.35893463808947407
singkat super,0.35893463808947407
pelatih hatching,0.35893463808947407
gokil hatching,0.35893463808947407
klip singkat,0.35893463808947407
chick berhasil,0.35893463808947407
vibes ton,0.3572676509781463
seruan,0.35643574455709914
selalu andalan,0.3562824738901784
langkah,0.35619392026614766
pokoknya,0.35587401163483007
asik main,0.35523657850532353
happy,0.35519046933644915
dragon,0.3549406289715075
red dragon,0.3549406289715075
mahjong,0.3549406289715075
mahjong red,0.3549406289715075
gak usah,0.35459435839396886
gak bosen,0.3539027795480208
keren abis,0.35386363220791994
datang tanpa,0.3537321159661519
tanpa henti,0.3537321159661519
gak perlu,0.3534975910333562
berkah gila,0.35223592895210337
